chromosome	start	end
12	57345001	57375000
12	63915001	64140000
12	93060001	93090000
12	94440001	94470000
12	109380001	109410000
12	119085001	119115000
12	122535001	122580000
12	123180001	123210000
12	125880001	125910000
12	132720001	132795000
12	133500001	133695000
12	133830001	133851895
13	1	19500000
13	19755001	19800000
13	19905001	20145000
13	21765001	21795000
13	21825001	21855000
13	21870001	21900000
13	23490001	23535000
13	24450001	24480000
13	24885001	24915000
13	24930001	25020000
13	25035001	25065000
13	25095001	25125000
13	25140001	25170000
13	25515001	25560000
13	41460001	41490000
13	46980001	47040000
13	48285001	48315000
13	52080001	52110000
13	52740001	52920000
13	53055001	53205000
13	57720001	57765000
13	63630001	63660000
13	64290001	64425000
13	79080001	79110000
13	86775001	86910000
13	112365001	112500000
13	112935001	112965000
13	114330001	114450000
13	114645001	114735000
13	115110001	115169878
14	1	20190000
14	20325001	20460000
14	21375001	21420000
14	24420001	24510000
14	25650001	25680000
14	28215001	28320000
14	35010001	35040000
14	38040001	38070000
14	43710001	43740000
14	52215001	52245000
14	70695001	70725000
14	70755001	70785000
14	70920001	70950000
14	73995001	74055000
14	88905001	88935000
14	106050001	106125000
14	106170001	106230000
14	106245001	106920000
14	106935001	106965000
14	106980001	107025000
14	107040001	107115000
14	107295001	107349540
15	1	20415000
15	20430001	20625000
15	20640001	22320000
15	22470001	22545000
15	22590001	22755000
15	23085001	23700000
15	24330001	24825000
15	28125001	28155000
15	28440001	28485000
15	28530001	29100000
15	29160001	29205000
15	30375001	30945000
15	30960001	31065000
15	31080001	31125000
15	31890001	32025000
15	32445001	32925000
15	34665001	34890000
15	43845001	44040000
15	45105001	45240000
15	45255001	45315000
15	45330001	45375000
15	72915001	72960000
15	74355001	74400000
15	75540001	75615000
15	78165001	78195000
15	78240001	78270000
15	78990001	79020000
15	79035001	79080000
15	81945001	81975000
15	82485001	82560000
15	82575001	83220000
15	84750001	85095000
15	85710001	85830000
15	88350001	88380000
15	96870001	96915000
15	100320001	100365000
15	100605001	100635000
15	102285001	102330000
15	102405001	102531392
16	1	90000
16	1275001	1305000
16	2145001	2190000
16	2580001	2640000
16	2655001	2745000
16	3405001	3435000
16	5130001	5190000
16	5280001	5340000
16	8640001	8685000
16	12015001	12045000
16	12165001	12195000
16	14490001	14535000
16	14775001	15120000
16	15165001	15495000
16	16290001	16860000
16	18165001	18795000
16	18870001	18930000
16	20430001	20520000
16	20535001	20625000
16	21360001	21600000
16	21735001	21945000
16	22440001	22710000
16	28335001	28485000
16	28620001	28830000
16	29040001	29310000
16	29325001	29655000
16	30180001	30360000
16	31965001	34215000
16	34515001	34545000
16	34590001	34620000
16	34725001	34755000
16	34770001	34815000
16	34875001	34950000
16	34980001	35025000
16	35145001	46515000
16	55785001	55845000
16	55860001	55890000
16	69975001	70275000
16	70845001	71205000
16	74370001	74460000
16	74565001	74595000
16	87915001	87945000
16	88050001	88080000
16	88110001	88305000
16	88395001	88440000
16	90150001	90354753
17	300001	390000
17	2955001	2985000
17	3120001	3165000
17	3225001	3255000
17	5025001	5070000
17	14070001	14100000
17	15420001	15555000
17	15570001	15795000
17	16560001	16770000
17	18285001	18750000
17	18930001	19140000
17	20220001	20655000
17	20685001	20775000
17	20790001	20820000
17	21195001	21255000
17	21300001	21330000
17	21345001	21420000
17	21450001	21825000
17	21900001	21990000
17	22005001	22095000
17	22155001	22200000
17	22215001	25305000
17	25350001	25380000
17	25470001	25530000
17	28890001	29115000
17	29340001	29370000
17	30090001	30120000
17	30255001	30315000
17	30345001	30435000
17	34440001	34815000
17	36210001	36360000
17	36390001	36465000
17	36630001	36660000
17	39240001	39285000
17	43515001	43710000
17	44295001	44340000
17	44355001	44790000
17	45090001	45135000
17	45525001	45675000
17	57645001	57675000
17	58005001	58035000
17	58050001	58125000
17	58260001	58305000
17	60285001	60375000
17	60495001	60645000
17	61950001	61995000
17	62415001	62460000
17	62745001	62925000
17	62940001	63000000
17	66180001	66270000
17	77460001	77535000
17	77550001	77625000
17	79710001	79755000
17	81105001	81195210
18	1	135000
18	2835001	2865000
18	10590001	10650000
18	11610001	11640000
18	12045001	12090000
18	12120001	12150000
18	12165001	12240000
18	14115001	14775000
18	14790001	14910000
18	14940001	18540000
18	52065001	52200000
18	61305001	61335000
18	72285001	72330000
18	75735001	75765000
18	78015001	78077248
19	1	255000
19	7020001	7065000
19	7290001	7395000
19	8340001	8370000
19	8700001	8730000
19	8850001	8910000
19	11925001	11955000
19	12000001	12030000
19	12495001	12525000
19	14295001	14355000
19	19905001	19935000
19	19965001	19995000
19	20400001	20430000
19	20445001	20475000
19	20490001	20610000
19	20625001	20655000
19	20730001	20775000
19	20820001	20880000
19	20940001	20985000
19	21135001	21165000
19	21255001	21315000
19	21345001	21375000
19	21525001	21555000
19	21660001	21690000
19	21765001	21795000
19	21810001	21855000
19	21885001	21945000
19	22005001	22035000
19	22050001	22125000
19	22170001	22245000
19	22305001	22335000
19	22380001	22485000
19	22500001	22635000
19	22695001	22725000
19	22800001	22935000
19	22950001	23010000
19	23085001	23145000
19	23160001	23310000
19	23385001	23415000
19	23430001	23460000
19	23475001	23535000
19	23550001	23610000
19	23685001	23760000
19	23865001	23925000
19	23940001	24000000
19	24045001	24120000
19	24150001	24210000
19	24225001	24285000
19	24360001	28275000
19	33480001	33510000
19	36750001	36810000
19	37755001	37815000
19	39240001	39285000
19	40365001	40410000
19	41325001	41430000
19	43215001	43320000
19	43350001	43395000
19	43410001	43650000
19	43680001	43800000
19	43845001	43920000
19	44865001	44925000
19	44955001	44985000
19	48405001	48465000
19	49530001	49560000
19	50580001	50655000
19	51105001	51135000
19	52980001	53055000
19	53190001	53250000
19	53265001	53370000
19	53385001	53460000
19	53775001	53820000
19	53835001	53880000
19	53895001	54000000
19	55215001	55380000
19	56265001	56295000
19	56715001	56745000
19	58365001	58395000
19	59100001	59128983
20	1	60000
20	1560001	1605000
20	23655001	23685000
20	23700001	23730000
20	23775001	23805000
20	25680001	25710000
20	25740001	26085000
20	26115001	26145000
20	26160001	29415000
20	29430001	29835000
20	34905001	34935000
20	46515001	46545000
20	47115001	47145000
20	52065001	52095000
20	55920001	55950000
20	61095001	61140000
20	61215001	61260000
20	62910001	63025520
21	1	10980000
21	10995001	11145000
21	11160001	15480000
21	29220001	29430000
21	31140001	31170000
21	42960001	43005000
21	44640001	44715000
21	48105001	48129895
22	1	17280000
22	17340001	17400000
22	17475001	17520000
22	18645001	18915000
22	18930001	18960000
22	20295001	20730000
22	21015001	21075000
22	21465001	21795000
22	21810001	21915000
22	22605001	22665000
22	22965001	22995000
22	23040001	23235000
22	23655001	23700000
22	23775001	23805000
22	24270001	24405000
22	24630001	24675000
22	24990001	25080000
22	25410001	25455000
22	25620001	25725000
22	25980001	26010000
22	28215001	28260000
22	29055001	29085000
22	29790001	29820000
22	32535001	32565000
22	33045001	33090000
22	38760001	38805000
22	39420001	39465000
22	42885001	42915000
22	50370001	50400000
22	51180001	51304566
X	1	155270560
Y	1	59373566
